token,Idx,Market_Cap,Income,Price
MSFT,DJIA S&P500,1883.32B,56.02B,249.73
AAPL,DJIA S&P500,2211.56B,76.31B,129.74
GM,S&P 500,83.65B,6.25B,58.72
SPOT,-,46.88B,-677.40M,237.04
TSLA,S&P 500,636.90B,1.11B,663.54
PYPL,S&P 500,302.21B,4.20B,252.02
